@relation person-weka.filters.unsupervised.attribute.NumericToNominal-R16

@attribute NumeroMorador numeric
@attribute Rendamédia numeric
@attribute Sexo numeric
@attribute Idade numeric
@attribute FrequentouEscola numeric
@attribute GrauEnsino numeric
@attribute ConcluiuSuperior numeric
@attribute GrauEnsinoMoradorMaisEstudou numeric
@attribute CorRaca numeric
@attribute ProcurouServicoSaudeQuinzeDias numeric
@attribute TipoServicoSaude numeric
@attribute CumprindoIsolamento numeric
@attribute MotivoProcuraServico numeric
@attribute RotinaAtividades numeric
@attribute RotinaCasa numeric
@attribute ValorQualitativo {0,1}

@data
1,2,1,2,1,1,0,2,1,0,0,1,1,1,1,1
1,2,1,2,1,1,0,2,1,0,0,1,1,1,1,1
1,2,1,2,1,1,0,2,1,0,0,1,1,1,1,1
1,2,1,2,1,1,0,2,1,0,0,1,1,1,1,1
1,2,1,2,1,1,0,2,1,0,0,1,1,1,1,1
1,2,1,2,1,1,0,2,1,0,0,1,1,1,1,1
1,2,1,2,1,1,0,2,1,0,0,1,1,1,1,1
1,2,1,2,1,1,0,2,1,0,0,1,1,1,1,1
1,2,1,2,1,1,0,2,1,0,0,1,1,1,1,1
1,2,1,2,1,1,0,2,1,0,0,1,1,1,1,1
1,2,1,2,1,1,0,2,1,0,0,1,1,1,1,1
1,2,1,2,1,1,0,2,1,0,0,1,1,1,1,1
1,2,1,2,1,1,0,2,1,0,0,1,1,1,1,1
1,2,1,2,1,1,0,2,1,0,0,1,1,1,1,1
1,2,1,2,1,1,0,2,1,0,0,1,1,1,1,1
1,2,1,2,1,1,0,2,1,0,0,1,1,1,0,1
1,2,1,2,1,1,0,2,1,0,0,1,1,1,0,0
1,2,1,2,1,1,0,2,1,0,0,1,1,1,0,0
1,2,1,2,1,1,0,2,1,0,0,1,1,1,0,0
1,2,1,2,1,1,0,2,1,0,0,1,1,1,0,0
1,2,1,2,1,1,0,2,1,0,0,1,1,1,0,0
1,2,1,2,1,1,0,2,1,0,0,1,1,1,0,0
1,2,1,2,1,1,0,2,1,0,0,1,1,1,0,0
1,2,1,2,1,1,0,2,1,0,0,1,1,1,0,0
1,2,1,2,1,1,0,2,1,0,0,1,2,1,0,1
0,2,2,2,1,1,0,2,1,0,0,1,2,1,0,1
0,2,2,2,1,1,0,2,1,0,0,1,2,1,0,1
0,2,2,2,1,1,0,2,1,0,0,1,2,1,0,1
0,2,2,2,1,1,0,2,1,0,0,1,2,1,0,1
0,2,2,2,1,1,0,2,1,0,0,1,2,1,0,1
0,2,2,2,1,1,0,2,1,0,0,1,2,1,0,1
0,1,2,2,1,1,0,2,1,1,0,0,2,1,0,0
0,1,2,2,1,1,0,2,1,1,0,0,2,1,0,?
0,1,2,2,1,1,0,2,1,1,0,0,2,1,0,?
0,1,2,2,1,1,0,2,1,1,0,0,2,1,0,?
0,1,2,2,1,1,0,2,1,1,0,0,2,1,0,?
0,1,2,2,1,1,0,2,1,1,0,0,2,1,0,?
1,0,1,1,0,0,0,2,1,1,0,0,1,1,1,?
1,0,1,1,0,0,0,2,1,1,0,0,1,1,1,?
7,3,1,5,1,1,0,1,0,1,2,2,2,0,2,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3,3,0,3,1,0,0,1,0,?,?,?,?,1,?,?
4,3,0,3,?,?,?,?,?,1,?,?,?,?,1,?
3,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?
3,5,0,?,?,?,?,?,?,?,2,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
